# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: TheGlobal.School
# Property: TheGlobal.School - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260512
# End date: 20260809
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
The New Global School,716,709,1.0098730606488011,2.2186177715091677,3066,0,0
404 - Page not found - Vienna School of Quality & Innovation,532,532,1,0,1596,0,0
Educación Global para Líderes de Gobierno y Empresa,294,299,0.9832775919732442,4.377926421404682,1276,0,0
Latin America Leaders Awards - Premios Líderes de América Latina,241,121,1.9917355371900827,29.49586776859504,1523,0,0
Vienna School of Quality & Innovation,218,200,1.09,0.625,638,0,0
404 - Page not found - The New Global School,154,157,0.9808917197452229,0.21019108280254778,774,0,0
"Terms, Privacy & Policies - The New Global School",144,136,1.0588235294117647,11.970588235294118,833,0,0
Viena Ciudad Inteligente - 7 razones por las que amarás Viena,129,125,1.032,110.184,665,0,0
Carta a la Humanidad desde el 2050 - Christina Figueres - The New Global School,62,50,1.24,31.2,298,0,0
Economía de la Dona ¿Cómo regenerar nuestro planeta?,61,44,1.3863636363636365,63.79545454545455,345,0,0
Top 5 líderes que transformaron el mundo - www.TheGlobal.School,54,49,1.1020408163265305,15.489795918367347,273,0,0
Mujeres Auténticas - The New Global School,48,46,1.0434782608695652,38.28260869565217,254,0,0
Cursos Gratis de Liderazgo y Estrategia,38,35,1.0857142857142856,27.457142857142856,193,0,0
Certificación en Desarrollo Sostenible ISO 37101,33,11,3,8.090909090909092,127,0,0
Executive & Educational Trips for Governments & Companies,32,34,0.9411764705882353,3.8823529411764706,132,0,0
International Certifications & Training,28,29,0.9655172413793104,4.9655172413793105,117,0,0
The New Global School - Event Organization,28,28,1,0.8214285714285714,108,0,0
"Entre techos, suelos y laberintos: la trayectoria profesional de las mujeres - The New Global School",24,17,1.411764705882353,67.47058823529412,137,0,0
Aqui nadie se rinde - The New Global School,23,20,1.15,19.2,113,0,0
Social Innovation Canvas - The New Global School,23,21,1.0952380952380953,11.428571428571429,109,0,0
Marco de Intervención Social - The New Global School,19,15,1.2666666666666666,30.666666666666668,83,0,0
The Global School for Social Leaders Europe - The New Global School,19,19,1,1.631578947368421,62,0,0
Alerta Isla Riesco Chile - Nominados 2022 - Latin American Leaders Awards,18,20,0.9,0.05,88,0,0
Bienvenido a los Latin American Leaders Awards - The New Global School,18,16,1.125,30.6875,82,0,0
Tools for Founders - The New Global School,18,19,0.9473684210526315,1.8421052631578947,77,0,0
Canvas de Innovación Social - The New Global School,17,16,1.0625,20.8125,88,0,0
